v3_start,v3_end,offset,match_method
2,98,0,gaia
99,99,0,tyc
100,125,0,gaia
126,126,0,tyc
127,192,0,gaia
193,193,0,tyc
194,266,0,gaia
267,267,0,tyc
268,419,0,gaia
420,420,0,tyc
421,543,0,gaia
544,544,0,tyc
545,637,0,gaia
638,719,1,gaia
720,777,2,gaia
778,784,3,gaia
785,785,3,tyc
786,826,3,gaia
827,827,3,tyc
828,862,3,gaia
863,900,4,gaia
901,901,4,tyc
902,933,4,gaia
934,934,4,tyc
935,951,4,gaia
952,952,4,tyc
953,1012,4,gaia
1013,1013,4,tyc
1014,1049,4,gaia
1050,1050,4,tyc
1051,1070,4,gaia
1071,1071,4,tyc
1072,1086,4,gaia
1087,1087,4,tyc
1088,1147,4,gaia
1148,1148,4,tyc
1149,1206,4,gaia
1207,1207,4,tyc
1208,1214,4,gaia
1215,1215,4,tyc
1216,1233,4,gaia
1234,1234,4,tyc
1235,1299,4,gaia
1300,1300,4,tyc
1301,1327,4,gaia
1328,1328,4,tyc
1329,1550,4,gaia
1551,1551,4,tyc
1552,1583,4,gaia
1584,1584,4,tyc
1585,1618,4,gaia
1619,1619,4,tyc
1620,1649,4,gaia
1650,1690,5,gaia
1691,1691,5,tyc
1692,1715,5,gaia
1716,1716,5,tyc
1717,1732,5,gaia
1733,1734,5,tyc
1735,1778,5,gaia
1779,1779,5,tyc
1780,1859,5,gaia
1860,1860,5,tyc
1861,1909,5,gaia
1910,1910,5,tyc
1911,1922,5,gaia
1923,1952,6,gaia
1953,1953,6,tyc
1954,2038,6,gaia
2039,2039,6,tyc
2040,2070,7,gaia
2071,2071,7,tyc
2072,2360,7,gaia
2361,2361,7,tyc
2362,2537,7,gaia
2538,2538,7,tyc
2539,2559,7,gaia
2560,2560,7,tyc
2561,2638,7,gaia
2639,2639,7,tyc
2640,2839,7,gaia
2840,2840,7,tyc
2841,2920,7,gaia
2921,2921,7,tyc
2922,2987,7,gaia
2988,2988,7,tyc
2989,2998,7,gaia
2999,3037,8,gaia
3038,3099,9,gaia
3100,3100,9,tyc
3101,3178,9,gaia
3179,3184,10,gaia
3185,3185,10,tyc
3186,3288,10,gaia
3289,3289,10,tyc
3290,3318,10,gaia
3319,3319,10,tyc
3320,3394,10,gaia
3395,3395,10,tyc
3396,3498,10,gaia
3499,3499,10,tyc
3500,3527,10,gaia
3528,3528,10,tyc
3529,3648,10,gaia
3649,3649,10,tyc
3650,3668,10,gaia
3669,3669,10,tyc
3670,3830,10,gaia
3831,3831,10,tyc
3832,3867,10,gaia
3868,3954,11,gaia
3955,3992,12,gaia
3993,3993,12,tyc
3994,4097,12,gaia
4098,4098,12,tyc
4099,4135,12,gaia
4136,4136,12,tyc
4137,4147,12,gaia
4148,4148,12,tyc
4149,4161,12,gaia
4162,4162,12,tyc
4163,4263,12,gaia
4264,4264,12,tyc
4265,4280,12,gaia
4281,4281,12,tyc
4282,4303,12,gaia
4304,4351,13,gaia
4352,4352,13,tyc
4353,4355,13,gaia
4356,4356,13,tyc
4357,4361,13,gaia
4362,4362,13,tyc
4363,4413,13,gaia
4414,4414,13,tyc
4415,4473,13,gaia
4474,4474,13,tyc
4475,4487,13,gaia
4488,4562,14,gaia
4563,4663,15,gaia
4664,4664,15,tyc
4665,4828,15,gaia
4829,4829,15,tyc
4830,4870,15,gaia
4871,4871,15,tyc
4872,4950,15,gaia
4951,4951,15,tyc
4952,5011,15,gaia
5012,5012,15,tyc
5013,5179,15,gaia
5180,5180,15,tyc
5181,5181,15,gaia
5182,5182,15,tyc
5183,5249,15,gaia
5250,5250,15,tyc
5251,5303,15,gaia
5304,5304,15,tyc
5305,5318,15,gaia
5319,5319,15,tyc
5320,5322,15,gaia
5323,5323,15,tyc
5324,5400,15,gaia
5401,5401,15,tyc
5402,5409,15,gaia
5410,5454,16,gaia
5455,5549,17,gaia
5550,5550,17,tyc
5551,5580,17,gaia
5581,5581,17,tyc
5582,5596,17,gaia
5597,5597,17,tyc
5598,5828,17,gaia
5829,5829,17,tyc
5830,5845,17,gaia
5846,5846,17,tyc
5847,5905,17,gaia
5906,5906,17,tyc
5907,5963,17,gaia
5964,5964,17,tyc
5965,6120,17,gaia
6121,6121,17,tyc
6122,6146,17,gaia
6147,6147,17,tyc
6148,6201,17,gaia
6202,6202,17,tyc
6203,6253,17,gaia
6254,6254,17,tyc
6255,6257,17,gaia
6258,6290,18,gaia
6291,6291,18,tyc
6292,6304,18,gaia
6305,6305,18,tyc
6306,6340,18,gaia
6341,6341,18,tyc
6342,6342,18,gaia
6343,6343,18,tyc
6344,6347,18,gaia
6348,6348,19,gaia
6349,6406,18,gaia
6407,6407,18,tyc
6408,6506,18,gaia
6507,6507,18,tyc
6508,6575,18,gaia
6576,6597,19,gaia
6598,6598,19,tyc
6599,6626,19,gaia
6627,6627,19,tyc
6628,6651,19,gaia
6652,6652,19,tyc
6653,6663,19,gaia
6664,6728,20,gaia
6729,6729,21,gaia
6730,6730,21,tyc
6731,6786,21,gaia
6787,6787,21,tyc
6788,6835,21,gaia
6836,6836,21,tyc
6837,6846,21,gaia
6847,7193,22,gaia
