athyg_id,match_method,cns5_id,gj,gj_comp,gaia,hip,ra_j2000,dec_j2000,dist,mag,absmag,spect,rv,pm_ra,pm_dec,x_eq,y_eq,z_eq,bright_unmatched
2238805,gj_id,5142,4165,,1871118140493076224,,20.8185276770,37.4705695554,17.577799,13.0499,11.8251,D,,162.1213,148.1423,9.385152,-10.322138,10.693521,0
5000000,new,5239,822.1,C,1964791549008457856,104887,21.2463518458,38.0206355921,20.351414,10.0606,8.5176,M V,-23.5424,167.7706,421.0083,12.043860,-10.582548,12.535356,1
2291904,hip_id,5240,822.1,AB,,104887,21.2465257001,38.0453178052,20.341741,,,,,196.9900,410.2800,12.034561,-10.573407,12.536301,0
2276255,gj_id,5218,820,B,1872046574983497216,104217,21.1153507613,38.7420463648,3.496438,4.9704,7.2523,M V,-64.4250,4105.9764,3155.9416,1.985712,-1.869262,2.188124,0
2276178,gj_id,5217,820,A,1872046609345556480,104214,21.1149828990,38.7494197181,3.496565,4.4238,6.7056,M V,-65.9378,4164.2087,3249.6139,1.985399,-1.869328,2.188555,0
2210142,gj_id,5087,4152,,2063967910147595008,,20.6127872686,38.8424091400,16.355330,10.8920,9.8237,M V,,170.6506,-150.5577,8.049846,-9.872968,10.257744,0
2197323,gj_id,5070,792,,2064100569188230144,,20.5237884312,38.5622845986,15.397490,10.7631,9.8258,M V,,201.3834,720.6780,7.388694,-9.505964,9.598256,0
5000001,new,5195,13045,,1873146567646378880,,21.0259527817,39.9510048787,23.945022,12.4260,10.5300,M V,,-147.6117,2.7966,13.067617,-12.891238,15.375872,0
2262522,gaia_source_id,5187,815,,1873073175244118784,103655,21.0014964331,40.0701808450,15.018062,8.5614,7.6783,M V,,602.2343,-250.5211,8.129728,-8.123360,9.667508,0
5000002,new,5321,834,B,1953952387283004544,106694,21.6106764001,39.4557396566,20.858897,,,,,-168.8292,-178.5462,13.056018,-9.430109,13.255453,0
2333004,gj_id,5322,834,A,1953952391581618432,106694,21.6107156455,39.4557020560,20.772680,9.0154,7.4279,M V,0.7181,-209.1808,-160.1066,13.002156,-9.391003,13.200653,0
5000003,new,5377,13143,,1954170404122975232,,21.8045273963,40.0664811564,8.085693,18.1432,18.6046,M V,-14.5200,772.1756,458.2432,5.193655,-3.364054,5.204567,0
5000004,new,5272,13087,,1965478468902062464,,21.4089769449,40.0665817059,14.497543,11.6291,10.8226,M V,-60.0000,542.2302,439.0240,8.638762,-6.961979,9.331740,0
2347611,gj_id,5353,836.8,,1954559047126247808,107346,21.7416560324,41.5974623849,19.826481,8.5828,7.0966,M V,10.2873,-61.1850,40.9020,12.310000,-8.264232,13.162664,0
2373689,gj_id,5435,4246,,1959969434607205504,,21.9894233403,41.8588661164,20.560147,10.6083,9.0432,M V,,109.8457,-408.7680,13.240203,-7.693195,13.719745,0
5000005,new,5408,13164,,1960660958705529344,,21.8996553827,42.5926184235,25.182396,13.1747,11.1692,M V,,-80.0310,-257.0143,15.806123,-9.687966,17.042970,0
2348289,gaia_source_id,5357,13134,,1973094614149871872,107376,21.7483310426,44.2858079778,22.896470,9.7247,7.9258,M V,-28.0887,-140.5996,-655.3965,13.624470,-9.112193,15.987185,0
2351832,gj_id,5369,4219,,1974606167761195904,,21.7822896843,46.6350640658,17.134577,10.7119,9.5425,M V,,278.7459,-5.6004,9.837422,-6.453540,12.456752,0
