ra_low_h,ra_up_h,dec_low_deg,con
0.0,24.0,88.0,UMi
8.0,14.5,86.5,UMi
21.0,23.0,86.1667,UMi
18.0,21.0,86.0,UMi
0.0,8.0,85.0,Cep
9.1667,10.6667,82.0,Cam
0.0,5.0,80.0,Cep
10.6667,14.5,80.0,Cam
17.5,18.0,80.0,UMi
20.1667,21.0,80.0,Dra
0.0,3.5083,77.0,Cep
11.5,13.5833,77.0,Cam
16.5333,17.5,75.0,UMi
20.1667,20.6667,75.0,Cep
7.9667,9.1667,73.5,Cam
9.1667,11.3333,73.5,Dra
13.0,16.5333,70.0,UMi
3.1,3.4167,68.0,Cas
20.4167,20.6667,67.0,Dra
11.3333,12.0,66.5,Dra
0.0,0.3333,66.0,Cep
14.0,15.6667,66.0,UMi
23.5833,24.0,66.0,Cep
12.0,13.5,64.0,Dra
13.5,14.4167,63.0,Dra
23.1667,23.5833,63.0,Cep
6.1,7.0,62.0,Cam
20.0,20.4167,61.5,Dra
20.5367,20.6,60.9167,Cep
7.0,7.9667,60.0,Cam
7.9667,8.4167,60.0,UMa
19.7667,20.0,59.5,Dra
20.0,20.5367,59.5,Cep
22.8667,23.1667,59.0833,Cep
0.0,2.4333,58.5,Cas
19.4167,19.7667,58.0,Dra
1.7,1.9083,57.5,Cas
2.4333,3.1,57.0,Cas
3.1,3.1667,57.0,Cam
22.3167,22.8667,56.25,Cep
5.0,6.1,56.0,Cam
14.0333,14.4167,55.5,UMa
14.4167,19.4167,55.5,Dra
3.1667,3.3333,55.0,Cam
22.1333,22.3167,55.0,Cep
20.6,21.9667,54.8333,Cep
0.0,1.7,54.0,Cas
6.1,6.5,54.0,Lyn
12.0833,13.5,53.0,UMa
15.25,15.75,53.0,Dra
21.9667,22.1333,52.75,Cep
3.3333,5.0,52.5,Cam
22.8667,23.3333,52.5,Cas
15.75,17.0,51.5,Dra
2.0417,2.5167,50.5,Per
17.0,18.2333,50.5,Dra
0.0,1.3667,50.0,Cas
1.3667,1.6667,50.0,Per
6.5,6.8,50.0,Lyn
23.3333,24.0,50.0,Cas
13.5,14.0333,48.5,UMa
0.0,1.1167,48.0,Cas
23.5833,24.0,48.0,Cas
18.175,18.2333,47.5,Her
18.2333,19.0833,47.5,Dra
19.0833,19.1667,47.5,Cyg
1.6667,2.0417,47.0,Per
8.4167,9.1667,47.0,UMa
0.1667,0.8667,46.0,Cas
12.0,12.0833,45.0,UMa
6.8,7.3667,44.5,Lyn
21.9083,21.9667,44.0,Cyg
21.875,21.9083,43.75,Cyg
19.1667,19.4,43.5,Cyg
9.1667,10.1667,42.0,UMa
10.1667,10.7833,40.0,UMa
15.4333,15.75,40.0,Boo
15.75,16.3333,40.0,Her
9.25,9.5833,39.75,Lyn
0.0,2.5167,36.75,And
2.5167,2.5667,36.75,Per
19.3583,19.4,36.5,Lyr
4.5,4.6917,36.0,Per
21.7333,21.875,36.0,Cyg
21.875,22.0,36.0,Lac
6.5333,7.3667,35.5,Aur
7.3667,7.75,35.5,Lyn
0.0,2.0,35.0,And
22.0,22.8167,35.0,Lac
22.8167,22.8667,34.5,Lac
22.8667,23.5,34.5,And
2.5667,2.7167,34.0,Per
10.7833,11.0,34.0,UMa
12.0,12.3333,34.0,CVn
7.75,9.25,33.5,Lyn
9.25,9.8833,33.5,LMi
0.7167,1.4083,33.0,And
15.1833,15.4333,33.0,Boo
23.5,23.75,32.0833,And
12.3333,13.25,32.0,CVn
23.75,24.0,31.3333,And
