athyg_id,con
5000000,Cyg
5000001,Cyg
5000002,Cyg
5000003,Cyg
5000004,Cyg
5000005,Cyg
5000006,Cyg
5000007,Cyg
5000008,Cyg
5000009,Cyg
5000010,Cyg
5000011,Lac
5000012,Lac
5000013,Lac
5000014,Lac
5000015,And
5000016,And
5000017,And
5000018,Lac
5000019,And
5000020,Cas
5000021,Cas
5000022,Cas
5000023,Cyg
5000024,Cyg
5000025,Cep
5000026,Cep
5000027,Cep
5000028,Cas
5000029,Cas
5000030,Cas
5000031,Cep
5000032,Cep
5000033,Cas
5000034,Cyg
5000035,Lyr
5000036,Lyr
5000037,Lyr
5000038,Cyg
5000039,Cyg
5000040,Cyg
5000041,Cyg
5000042,Cyg
5000043,Dra
5000044,Lyr
5000045,Lyr
5000046,Dra
5000047,Her
5000048,Dra
5000049,Cyg
5000050,Dra
5000051,Dra
5000052,Dra
5000053,Dra
5000054,Dra
5000055,Dra
5000056,Dra
5000057,Dra
5000058,Dra
5000059,Cyg
5000060,Cep
5000061,Cep
5000062,Cep
5000063,Cep
5000064,Cep
5000065,Cep
5000066,Cep
5000067,Cep
5000068,Cep
5000069,Cep
5000070,Cep
5000071,Cep
5000072,Cep
5000073,Cep
5000074,Cep
5000075,Cep
5000076,Cep
5000077,Cep
5000078,Dra
5000079,Dra
5000080,Dra
5000081,Dra
5000082,Dra
5000083,Dra
5000084,Dra
5000085,Dra
5000086,Dra
5000087,Dra
5000088,Dra
5000089,Dra
5000090,Dra
5000091,Dra
5000092,Dra
5000093,Dra
5000094,Dra
5000095,Cep
5000096,Cep
5000097,Cep
5000098,Cep
5000099,Dra
5000100,Cep
5000101,Cep
5000102,Cep
5000103,Cep
5000104,Cep
5000105,Cep
5000106,Dra
5000107,Dra
5000108,Dra
5000109,Dra
5000110,Cep
5000111,Dra
5000112,Dra
5000113,And
5000114,And
5000115,And
5000116,Cas
5000117,Cas
5000118,Cas
5000119,Cas
5000120,And
5000121,And
5000122,And
5000123,And
5000124,And
5000125,Cas
5000126,Cas
5000127,Cas
5000128,Cas
5000129,Cas
5000130,Cas
5000131,Cas
5000132,Cas
5000133,Cas
5000134,Cas
5000135,Cas
5000136,Cas
5000137,Cas
5000138,Per
5000139,And
5000140,Per
5000141,Per
5000142,Per
5000143,Per
5000144,And
5000145,And
5000146,And
5000147,Per
5000148,Per
5000149,Per
5000150,Per
5000151,Per
5000152,Per
5000153,Per
5000154,Per
5000155,Per
5000156,Per
5000157,Per
5000158,Per
5000159,Per
5000160,Per
5000161,Per
5000162,Per
5000163,Per
5000164,Per
5000165,Cas
5000166,Cep
5000167,Cas
5000168,Cas
5000169,Cas
5000170,Cas
5000171,Cas
5000172,Cas
5000173,Cas
5000174,Cas
5000175,Cas
5000176,Cas
5000177,Cas
5000178,Cas
5000179,Cas
5000180,Cas
5000181,Per
5000182,Cas
5000183,Cam
5000184,Cam
5000185,Cam
5000186,Cas
5000187,Cep
5000188,Cep
5000189,Cas
5000190,Cep
5000191,Cam
5000192,Cep
5000193,Cep
5000194,Cam
5000195,Cam
5000196,Cam
5000197,Cam
5000198,Cas
5000199,Cas
5000200,Cas
5000201,Cam
5000202,Cam
5000203,Cam
5000204,Cam
5000205,Cam
5000206,Cam
5000207,Cam
5000208,Cam
5000209,Cam
5000210,Cam
5000211,Cam
5000212,Cam
5000213,Cam
5000214,Cam
5000215,Cam
5000216,Cam
5000217,Cam
5000218,Per
5000219,Cam
5000220,Per
5000221,Per
5000222,Per
5000223,Per
5000224,Per
5000225,Per
5000226,Per
5000227,Aur
5000228,Cam
5000229,Cam
5000230,Cam
5000231,Cam
5000232,Cam
5000233,Cam
5000234,Aur
5000235,Cam
5000236,Cam
5000237,Cam
5000238,Aur
5000239,Per
5000240,Aur
5000241,Aur
5000242,Aur
5000243,Aur
5000244,Aur
5000245,Her
5000246,Her
5000247,Dra
5000248,Her
5000249,Dra
5000250,Her
5000251,Dra
5000252,Dra
5000253,Dra
5000254,Dra
5000255,Dra
5000256,Dra
5000257,Dra
5000258,Dra
5000259,Dra
5000260,Dra
5000261,Dra
5000262,Dra
5000263,Dra
5000264,Her
5000265,Her
5000266,Her
5000267,Her
5000268,Her
5000269,Her
5000270,Dra
5000271,Boo
5000272,Boo
5000273,Dra
5000274,Boo
5000275,Dra
5000276,Dra
5000277,Dra
5000278,Dra
5000279,Dra
5000280,Dra
5000281,Dra
5000282,Dra
5000283,Dra
5000284,Dra
5000285,Dra
5000286,Dra
5000287,UMi
5000288,UMi
5000289,UMi
5000290,UMi
5000291,UMi
5000292,UMi
5000293,UMi
5000294,Dra
5000295,UMi
5000296,UMi
5000297,Cam
5000298,Cam
5000299,Cam
5000300,UMi
5000301,UMi
5000302,UMi
5000303,UMi
5000304,UMi
5000305,Cam
5000306,Cam
5000307,Dra
5000308,Dra
5000309,Dra
5000310,Dra
5000311,UMi
5000312,Dra
5000313,UMi
5000314,Dra
5000315,Dra
5000316,Dra
5000317,Dra
5000318,Dra
5000319,Dra
5000320,UMa
5000321,UMa
5000322,UMi
5000323,Dra
5000324,Dra
5000325,Dra
5000326,Dra
5000327,Dra
5000328,Dra
5000329,Dra
5000330,Dra
5000331,Dra
5000332,Dra
5000333,Dra
5000334,Boo
5000335,Boo
5000336,Boo
5000337,Boo
5000338,Boo
5000339,Boo
5000340,Boo
5000341,Boo
5000342,Boo
5000343,Boo
5000344,Boo
5000345,Boo
5000346,Boo
5000347,Boo
5000348,Boo
5000349,Boo
5000350,CVn
5000351,CVn
5000352,Boo
5000353,UMa
5000354,UMa
5000355,UMa
5000356,UMa
5000357,UMa
5000358,Boo
5000359,UMa
5000360,UMa
5000361,UMa
5000362,UMa
5000363,UMa
5000364,UMa
5000365,UMa
5000366,UMa
5000367,UMa
5000368,UMa
5000369,UMa
5000370,UMa
5000371,CVn
5000372,CVn
5000373,CVn
5000374,CVn
5000375,UMa
5000376,CVn
5000377,UMa
5000378,UMa
5000379,Cam
5000380,Cam
5000381,Cam
5000382,Cam
5000383,Cam
5000384,Cam
5000385,Cam
5000386,Cam
5000387,Cam
5000388,Dra
5000389,Dra
5000390,Cam
5000391,UMa
5000392,Cam
5000393,UMa
5000394,Cam
5000395,Cam
5000396,Cam
5000397,Cam
5000398,Cam
5000399,Cam
5000400,Cam
5000401,Cam
5000402,Dra
5000403,Dra
5000404,UMa
5000405,Dra
5000406,UMa
5000407,UMa
5000408,Dra
5000409,Dra
5000410,Dra
5000411,UMa
5000412,UMa
5000413,UMa
5000414,UMa
5000415,UMa
5000416,UMa
5000417,UMa
5000418,UMa
5000419,Cam
5000420,UMa
5000421,UMa
5000422,UMa
5000423,UMa
5000424,UMa
5000425,UMa
5000426,Cam
5000427,Aur
5000428,Lyn
5000429,Cam
5000430,Lyn
5000431,Lyn
5000432,Aur
5000433,Aur
5000434,Aur
5000435,Aur
5000436,Aur
5000437,Aur
5000438,Aur
5000439,Lyn
