athyg_id,gaia,dist,rpgeo,old_dist,old_absmag,old_dist_src,mag
28074,430614112599738112,4613.760250,2141.887940,117620.450,-10.062,G_R3,10.2900
61468,4688952239575814016,19201.605500,19908.832000,724432.800,-12.135,G_R3,12.1650
61669,4685948275085827328,14455.563500,15176.430700,360369.620,-10.794,G_R3,11.9900
65330,4685876050900042880,25107.291000,12256.515600,,,H,11.0660
66261,4689033539046230400,31665.896500,28653.498000,,,H,11.3840
68417,4688967362197739392,37804.421900,34654.273400,,,H,10.8000
78835,4690499772138161536,26022.203100,23773.242200,,,H,11.5060
78903,4690499806497887360,24753.746100,19123.476600,,,H,13.5060
85727,4687489584188959872,24607.207000,34503.390600,401061.380,-10.824,G_R3,12.1920
88455,4687444298045126528,21229.910200,13933.495100,,,H,11.0350
106972,410413094691592576,3510.549320,1701.706300,272400.380,-11.649,G_R3,10.5270
137805,4638467544702324864,20701.521500,9060.004880,,,H,12.3060
334711,4653148743651069184,22657.044900,25805.568400,941129.700,-11.950,G_R3,12.9180
351251,4655349652394811136,27791.029300,29410.652300,195554.400,-10.885,G_R3,10.5710
353502,4655369585367063168,24626.982400,25712.152300,168844.340,-10.502,G_R3,10.6350
357307,4655510047977545984,41735.695300,39495.335900,,,H,10.9460
359265,4661730912968569984,28477.939500,21323.541000,239945.480,-12.181,G_R3,9.7200
359521,4661720536326765184,27324.679700,25216.679700,,,H,11.3080
359772,4655136518933846784,38331.855500,41227.929700,,,H,10.1400
361469,4655158131209278464,32202.320300,26274.960900,,,H,10.8570
381127,4652214880388720000,31519.535200,28958.966800,283930.280,-11.451,G_R3,10.8150
383167,4658269336800428672,30551.978500,38395.925800,,,H,10.5060
388425,4658204053297963392,32369.591800,37273.570300,,,H,10.5770
389570,4658208971121029120,21785.320300,20592.957000,254741.060,-10.598,G_R3,11.4320
395728,4658137739001073280,21262.275400,10711.656200,,,H,10.8890
399933,4658866685180816384,21720.414100,22864.941400,,,H,11.2900
401147,4660601611448785152,34733.410200,25499.918000,,,H,9.7030
401697,4658176157540288768,27813.070300,25183.888700,158173.780,-10.169,G_R3,10.8270
402387,187947493996445952,11297.608400,11044.692400,404579.160,-11.083,G_R3,11.9520
404275,4651736313584682240,20077.498000,17556.345700,,,H,11.4600
405009,4658872796887752448,15377.032200,16483.630900,484248.780,-10.976,G_R3,12.4490
413052,4660343810359004544,23782.857400,22212.888700,142296.120,-10.027,G_R3,10.7390
413273,4658106166793166464,28557.492200,21199.709000,887916.500,-14.042,G_R3,10.7000
414148,4660367209336321408,14332.360400,13242.210000,296210.880,-10.299,G_R3,12.0590
418576,4651835308326981504,19031.224600,19578.939500,,,H,11.3450
418621,4660205478044365952,16022.226600,17349.353500,542121.500,-11.193,G_R3,12.4770
420090,4660124762671796096,28315.447300,22760.175800,,,H,10.4960
424406,4660260487980140032,17154.224600,14785.113300,368998.500,-11.501,G_R3,11.3340
425064,4660142634076536320,16864.949200,16614.080100,245688.470,-10.605,G_R3,11.3470
426404,4660245300973506944,8502.478520,4948.474120,301006.700,-11.446,G_R3,10.9470
426863,4657280639705543296,25442.677700,24158.720700,,,H,13.4070
428692,4657702886498144256,29103.748000,24579.578100,152628.140,-10.573,G_R3,10.3450
429209,4657658321911656192,26448.892600,39617.484400,149565.280,-10.015,G_R3,10.8590
429845,4657655435693905408,17878.576200,16739.978500,159964.170,-10.264,G_R3,10.7560
429898,4657657531637832576,14832.684600,14629.949200,408467.280,-10.979,G_R3,12.0770
430189,4657663471532388224,14576.441400,13551.621100,768522.500,-11.956,G_R3,12.4720
432887,4657265280898208896,24950.976600,22139.585900,917438.600,-13.679,G_R3,11.1340
435122,4659472825333081216,7436.681150,6322.630370,479769.120,-11.021,G_R3,12.3840
439602,4657730168102936704,13628.447300,16629.080100,434330.280,-11.186,G_R3,12.0030
441880,4657630731032546176,29260.265600,30659.394500,295684.840,-12.097,G_R3,10.2570
